TicketID,Date,MemberID,Desc,Price,Type
203508,23/09/2013,994797,Banana,1,Snack
203552,23/09/2013,990653,Banana,1,Snack
203599,23/09/2013,,Banana,1,Snack
203603,23/09/2013,,Banana,1,Snack
203608,30/09/2013,,Banana,1,Snack
203609,30/09/2013,,Banana,1,Snack
203632,30/09/2013,,Banana,1,Snack
203636,30/09/2013,,Banana,1,Snack
203688,30/09/2013,,Banana,1,Snack
203725,07/10/2013,,Banana,1,Snack
203726,07/10/2013,,Banana,1,Snack
203773,14/10/2013,,Banana,1,Snack
203834,21/10/2013,,Banana,1,Snack
203834,21/10/2013,,Banana,1,Snack
203867,21/10/2013,999854,Banana,1,Snack
203891,21/10/2013,993914,Banana,1,Snack
203897,21/10/2013,,Banana,1,Snack
203897,21/10/2013,,Banana,1,Snack
203918,28/10/2013,,Banana,1,Snack
203926,28/10/2013,,Banana,1,Snack
203935,28/10/2013,995385,Banana,1,Snack
203947,28/10/2013,,Banana,1,Snack
203981,28/10/2013,,Banana,1,Snack
203986,04/11/2013,992540,Banana,1,Snack
203989,04/11/2013,,Banana,1,Snack
203992,04/11/2013,,Banana,1,Snack
204022,04/11/2013,992400,Banana,1,Snack
204026,04/11/2013,,Banana,1,Snack
204063,11/11/2013,993898,Banana,1,Snack
204078,11/11/2013,,Banana,1,Snack
204079,11/11/2013,,Banana,1,Snack
204093,11/11/2013,,Banana,1,Snack
204093,11/11/2013,,Banana,1,Snack
204131,11/11/2013,993178,Banana,1,Snack
204143,11/11/2013,,Banana,1,Snack
204164,18/11/2013,,Banana,1,Snack
204180,18/11/2013,999064,Banana,1,Snack
204183,18/11/2013,,Banana,1,Snack
204186,18/11/2013,,Banana,1,Snack
204214,18/11/2013,,Banana,1,Snack
204245,25/11/2013,,Banana,1,Snack
204278,25/11/2013,,Banana,1,Snack
204302,25/11/2013,,Banana,1,Snack
204321,02/12/2013,,Banana,1,Snack
204372,02/12/2013,,Banana,1,Snack
204389,09/12/2013,,Banana,1,Snack
204392,09/12/2013,,Banana,1,Snack
204452,16/12/2013,,Banana,1,Snack
204456,16/12/2013,,Banana,1,Snack
204520,16/12/2013,,Banana,1,Snack
204532,16/12/2013,,Banana,1,Snack
204558,23/12/2013,991030,Banana,1,Snack
204562,23/12/2013,,Banana,1,Snack
204567,23/12/2013,,Banana,1,Snack
204572,23/12/2013,998001,Banana,1,Snack
204577,23/12/2013,,Banana,1,Snack
204581,23/12/2013,996872,Banana,1,Snack
204590,23/12/2013,,Banana,1,Snack
204610,30/12/2013,,Banana,1,Snack
204629,30/12/2013,,Banana,1,Snack
204667,30/12/2013,999524,Banana,1,Snack
204700,03/01/2013,,Banana,1,Snack
204724,03/01/2013,,Banana,1,Snack
204742,03/01/2013,,Banana,1,Snack
204788,10/01/2013,,Banana,1,Snack
204800,17/01/2013,,Banana,1,Snack
204801,17/01/2013,,Banana,1,Snack
204806,17/01/2013,,Banana,1,Snack
204816,17/01/2013,,Banana,1,Snack
204824,17/01/2013,,Banana,1,Snack
204835,17/01/2013,,Banana,1,Snack
204835,17/01/2013,,Banana,1,Snack
204873,17/01/2013,990240,Banana,1,Snack
204890,24/01/2013,,Banana,1,Snack
204905,24/01/2013,,Banana,1,Snack
204915,24/01/2013,,Banana,1,Snack
204916,24/01/2013,,Banana,1,Snack
204919,24/01/2013,,Banana,1,Snack
204920,24/01/2013,,Banana,1,Snack
204930,24/01/2013,,Banana,1,Snack
204932,24/01/2013,,Banana,1,Snack
204957,31/01/2013,,Banana,1,Snack
204957,31/01/2013,,Banana,1,Snack
204983,31/01/2013,,Banana,1,Snack
205003,31/01/2013,990777,Banana,1,Snack
205040,07/02/2013,,Banana,1,Snack
205041,07/02/2013,993966,Banana,1,Snack
205120,14/02/2013,994981,Banana,1,Snack
205125,14/02/2013,,Banana,1,Snack
205135,14/02/2013,,Banana,1,Snack
205148,14/02/2013,991375,Banana,1,Snack
205151,14/02/2013,999769,Banana,1,Snack
205155,14/02/2013,994824,Banana,1,Snack
205216,21/02/2013,992732,Banana,1,Snack
205220,21/02/2013,,Banana,1,Snack
205229,21/02/2013,,Banana,1,Snack
205236,21/02/2013,,Banana,1,Snack
205242,21/02/2013,,Banana,1,Snack
205248,21/02/2013,,Banana,1,Snack
205259,21/02/2013,,Banana,1,Snack
205269,21/02/2013,,Banana,1,Snack
205297,28/02/2013,,Banana,1,Snack
205301,28/02/2013,995963,Banana,1,Snack
205316,28/02/2013,,Banana,1,Snack
205325,28/02/2013,,Banana,1,Snack
205334,28/02/2013,,Banana,1,Snack
205339,28/02/2013,,Banana,1,Snack
205351,28/02/2013,,Banana,1,Snack
205366,28/02/2013,,Banana,1,Snack
205366,28/02/2013,,Banana,1,Snack
205383,07/03/2013,990500,Banana,1,Snack
205384,07/03/2013,,Banana,1,Snack
205390,07/03/2013,990861,Banana,1,Snack
205407,07/03/2013,,Banana,1,Snack
205421,07/03/2013,,Banana,1,Snack
205438,07/03/2013,,Banana,1,Snack
205444,07/03/2013,,Banana,1,Snack
205466,07/03/2013,992539,Banana,1,Snack
205478,07/03/2013,,Banana,1,Snack
205533,14/03/2013,,Banana,1,Snack
205533,14/03/2013,,Banana,1,Snack
205534,14/03/2013,,Banana,1,Snack
205546,14/03/2013,,Banana,1,Snack
205551,21/03/2013,,Banana,1,Snack
205560,21/03/2013,,Banana,1,Snack
205570,21/03/2013,,Banana,1,Snack
205590,21/03/2013,,Banana,1,Snack
205597,21/03/2013,,Banana,1,Snack
205601,21/03/2013,996279,Banana,1,Snack
205601,21/03/2013,996279,Banana,1,Snack
205640,28/03/2013,,Banana,1,Snack
205680,28/03/2013,993844,Banana,1,Snack
205712,28/03/2013,,Banana,1,Snack
205726,04/04/2013,996379,Banana,1,Snack
205782,04/04/2013,991885,Banana,1,Snack
205786,04/04/2013,993093,Banana,1,Snack
205802,04/04/2013,,Banana,1,Snack
205822,11/04/2013,,Banana,1,Snack
205824,11/04/2013,994777,Banana,1,Snack
205850,11/04/2013,,Banana,1,Snack
205855,11/04/2013,,Banana,1,Snack
